case_id,case_title,case_text,case_outcome
Case1599,"Dranichnikov v Minister for Immigration and Multicultural Affairs [2003] HCA 26 , 73 ALD 321","failure on the part of the Tribunal "" to respond to a substantial, clearly articulated argument relying upon established facts "" may constitute a constructive failure to exercise jurisdiction: cf Dranichnikov v Minister for Immigration and Multicultural Affairs [2003] HCA 26 at [24] to [25] [2003] HCA 26 ; , 73 ALD 321 at 326 per Gummow and Callinan JJ. The comments there made in respect to a failure on the part of the Refugee Review Tribunal have been applied by the Full Court of this Court in respect to a decision of the Administrative Appeals Tribunal: Industry Research and Development Board v Bridgestone Australia Ltd [2004] FCAFC 56 at [26] , [2004] FCAFC 56 ; 136 FCR 47 at 58.",cited
Case1620,W148/00A v Minister (2001) 185 ALR 703,"Tribunal concluded that although it was accepted that the appellant may have observed other people practising Falun Gong in both China and Australia, the appellant herself was not a Falun Gong practitioner. There is nothing, in my opinion, which is either not reasonable or illogical in this finding. Observing other practitioners of Falun Gong, of itself, says nothing about whether the appellant was or was not herself such a practitioner. The finding of fact of the Tribunal that she was not a practitioner of Falun Gong was the product of the Tribunal's evaluation of the credibility of the appellant's testimony based on internal consistency, inherent implausibility and consistency with independent country information that was clearly within the Tribunal's jurisdiction: Re Minister; Ex parte Durairajasingham [2000] HCA 1 ; (2000) 168 ALR 407 (HCA) at [67]; W148/00A v Minister (2001) 185 ALR 703 (FCAFC) at [64]-[65].",cited
Case1621,WAEE v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCAFC 184,"relation to the amended grounds his Honour rejected ground 1 on the basis that, while the Tribunal did not mention the appellant's claim to have lost her employment at the end of her detention in the key paragraphs under the heading ""Findings and Reasons"", it had earlier identified the claim as part of the appellant's application to the delegate and noted that the statement containing it had accompanied the appellant's review application. The Tribunal, as he stated was clearly aware of that element of the applicant's claims"" and dealt with it as part of a more general conclusion. This approach was in my opinion correct: WAEE v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2003] FCAFC 184 at [47] .",cited
Case1622,Chan Yee Kin v Minister for Immigration and Ethnic Affairs (1989) 169 CLR 379,It is apparent from the applicant's oral submissions that she seeks an impermissible merits review of the Tribunal decision: see Minister for Aboriginal Affairs and Another v Peko-Wallsend Limited and Others [1986] HCA 40 ; (1986) 162 CLR 24 at 40-42; Chan Yee Kin v Minister for Immigration and Ethnic Affairs (1989) 169 CLR 379 at 391-392; NAHI v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCAFC 10 at [10] . There is no jurisdictional error apparent in the Tribunal's decision or in the decision of Smith FM. The Court is satisfied that there is no merit in the applicant's substantial application.,considered
Case1624,Iyer v Minister for Immigration and Multicultural Affairs [2000] FCA 1788,"In considering the merits of the substantial application, the Court observes that the first ground alleging bias by the Tribunal had not been raised before Smith FM. Accordingly leave would be required for the applicant to raise such ground on appeal: see Iyer v Minister for Immigration and Multicultural Affairs [2000] FCA 1788 at [22] - [24] . Leave may be granted if it is 'expedient in the interests of justice to allow the new ground to be argued and determined' : see VAAC v Minister for Immigration and Multicultural and Indigenous Affairs [2003] FCAFC 74 ; (2003) 129 FCR 168 at [26] . Such consideration requires the Court to consider the merits of the ground sought to be raised: see Iyer at [24]; VAAC at [26].",considered
Case1627,SBBF v Minister for Immigration and Multicultural and Indigenous Affairs [2002] FCAFC 358,"As no transcript of the Tribunal hearing has been put before the Court, the only evidence before the Court of the Tribunal's conduct of the proceeding is the Tribunal hearing record and the Tribunal decision itself. The Court observes that ' [i] t is likely to be a rare and extreme circumstance that a lack of good faith on the part of the administrative decision-maker will be apparent by reference only to the reasons for the decision themselves' : see SBBF v Minister for Immigration and Multicultural and Indigenous Affairs [2002] FCAFC 358 at [16] ; see also SBBS v Minister for Immigration and Multicultural and Indigenous Affairs (2002) 194 ALR 749 at [44]; SCAA v Minister for Immigration and Multicultural and Indigenous Affairs [2002] FCA 668 at [38] . In the present proceeding the Tribunal decision reveals no bias against the applicant.",considered
Case1632,Trautwein v Federal Commissioner of Taxation [1936] HCA 77 ; (1936) 56 CLR 63,"I am not persuaded that any of these questions are truly questions of law for the purpose of s 44(1) of the Act. While counsel for the Commissioner accepts that a question whether a finding was based on no evidence would be a question of law, the present case has to be considered in light of the onus of proof imposed on the taxpayer by s 14ZZK(b)(i) of the Taxation Administration Act 1953 (Cth). The appellant has to prove not only a case of error, but what the correct assessment was: Trautwein v Federal Commissioner of Taxation [1936] HCA 77 ; (1936) 56 CLR 63 at 88, Federal Commissioner of Taxation v Dalco [1990] HCA 3 ; (1990) 168 CLR 614 at 623. Questions as to what were the true amount of the appellant's gross income and purchases in the 1997 year were questions of fact. For the reasons explained by the Tribunal, the appellant did not establish any different figures from those assessed by the Commissioner on the basis of the appellant's own financial records, such as they were.",applied
Case1634,"Bahonko v Nurses Board of Victoria (No 4) [2007] FCA 1449 , 97 ALD 721","Appeals from decisions of the Tribunal to this Court are confined to "" a question of law "" and are to be filed within 28 days: Administrative Appeals Tribunal Act 1975 (Cth), s 44(1) and (2A)(a). Prima facie the rule is that proceedings commenced outside the prescribed 28 day period ought not to be entertained: Jeilles v Secretary, Department of Employment &amp; Workplace Relations [2007] FCA 1590 at [9] . There is, however, a discretion to extend that time. The principles relevant to that discretion have been conveniently set forth by Wilcox J in Hunter Valley Developments Pty Ltd v Cohen (1984) 3 FCR 344 and those principles have since been repeatedly applied in a variety of contexts in which an extension of time is sought: eg, Bahonko v Nurses Board of Victoria (No 4) [2007] FCA 1449 at [47] [48], [2007] FCA 1449 ; 97 ALD 721 at 730; SZGCA v Minister for Immigration &amp; Citizenship [2008] FCA 224 at [4] .",considered
Case1639,Jianshe Southern Pty Ltd v Turnbull Cooktown Pty Ltd (No 2) [2007] FCA 903,"Order 35A, r 3(1)(a) provides as follows: Orders on default (1) If an applicant is in default, the Court may order that: (a) the proceeding be stayed or dismissed as to the whole or any part of the relief claimed by the applicant... The discretion conferred by r 3(1)(a) is unconfined and it has been said to be undesirable to attempt any exhaustive statement of the circumstances in which the power will be exercised: Jianshe Southern Pty Ltd v Turnbull Cooktown Pty Ltd (No 2) [2007] FCA 903 at [25] . It is, however, a power to be exercised "" cautiously "": Lawson v NSW Minister for Land &amp; Water Conservation [2007] FCA 8 at [22] .",followed
Case1643,Lucic v Nolan (1982) 45 ALR 411,"In the context of the present Application , it is considered that the principal consideration relevant to an adverse exercise of the discretion to extend time is an assessment as to whether the Applicant has an arguable case. The "" obvious strength or weakness "" of an applicant's case is of relevance to the exercise of the discretion: Lucic v Nolan (1982) 45 ALR 411 at 417 per Fitzgerald J; Hunter Valley Developments Pty Ltd v Cohen (1984) 3 FCR 344 at 349. Although in many cases it may neither be appropriate nor practicable to attempt a full investigation of the merits of an appeal when considering whether an extension of time should be granted, the present proceeding is one in which the merits of the decision of the Administrative Appeals Tribunal can readily be assessed.",followed
Case1650,Fylas Pty Ltd and Vynal Pty Ltd (1992) 2 Qd R 593,"The orders made on 28 November 2007 envisaged liberty to apply. There is a very helpful passage in respect of the position which obtains in relation to orders which have been made by consent in the judgment of McPherson J in his then capacity as Senior Puisne Judge of the Supreme Court of Queensland in Fylas Pty Ltd and Vynal Pty Ltd (1992) 2 Qd R 593 at 599 and also 601. The whole passage is too lengthy conveniently to set out in reasons delivered ex tempore. I do, though, highlight the following observations made by his Honour by reference to authority: The position is more complex where the order is made or the undertaking is given in consequence of an agreement between the parties or as an element in such an agreement. For a long time the rule has been that, ""The contract of the parties is not the less a contract, and subject to the incidence of a contract because there is superadded the command of a Judge.""",cited
Case1652,Interchase Corporation Ltd in Liquidation v Grosvenor Hill Qld (Pty Ltd) No 2 (1999) 1 Qd R 163,"The rules require a description to be adequate so as to: ...facilitate the production of a particular document for which the privilege has been claimed in the event, for example, of a cessor of the privilege (though for example publication dehors the proceedings) or should the court production upon a ruling that the privilege does not in fact attach : Interchase Corporation Ltd in Liquidation v Grosvenor Hill Qld (Pty Ltd) No 2 (1999) 1 QR 163 at 170. 39 A party seeking disclosure is not entitled to have such a description as would enable the formation of a prima facie view as to the correctness of the claim of privilege.",cited
Case1657,Re Refugee Review Tribunal; Ex parte H [2001] HCA 28 ; (2001) 179 ALR 425,An allegation of bias raises a serious issue and must be founded on facts sufficient to give rise to the inference: see SBBS v Minister for Immigration and Multicultural and Indigenous Affairs (2002) 194 ALR 749. Smith FM relied upon the decision in Re Refugee Review Tribunal; Ex parte H (2001) 179 ALR 425; [2001] HCA 28 in which the High Court held that the apprehended bias must be determined by an objective standard of a fair minded lay observer. Applying such test Smith FM was unable to conclude that any bias existed as claimed. The Court considers that Smith FM was entitled to make the finding above on the evidence before him.,cited
Case1658,SAAP and Another v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 24 ; (2005) 215 ALR 162,"It follows that the appeal must be dismissed. The Court notes that consistent with the High Court's decision in SAAP and Another v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 24 ; (2005) 215 ALR 162, the Refugee Review Tribunal should be joined as a second respondent. 24 The first respondent seeks an order that its costs be paid in the sum of $2400. As this quantum is in the range of costs which is realistic, the Court will make such order. I certify that the preceding twenty four (24) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice Cowdroy. Associate: Dated: 8 November 2006 Counsel for the Respondent: S Kaur- Bains Solicitor for the Respondent: Blake Dawson Waldron Date of Hearing: 8 November 2006 Date of Judgment: 8 November 2006 AustLII: Copyright Policy | Disclaimers | Privacy Policy | Feedback URL: http://www.austlii.edu.au/au/cases/cth/FCA/2006/1470.html",followed
Case1661,Re Bounty Industries Ltd [2007] FCA 956,"orders sought to be made will be made pursuant to s 1322(4) and therefore subsection (6) is applicable and provides a barrier to the making of orders subject to the satisfaction of the Court as to the matters there listed. Counsel has referred me to a number of authorities as to the application of these provisions which establish that the provisions are remedial and are meant to have regard to the substantive effect of what is done and, in certain circumstances, may involve balancing interests which are affected ( Super John Pty Ltd v Futuris Rural Pty Ltd (1999) 32 ACSR 398; Re Insurance Australia Group Ltd [2003] FCA 581 ; (2003) 128 FCR 581; Re Westpac Banking Corp (2004) 53 ACSR 288; Re Wave Capital Limited (2003) 47 ACSR 418; and Re Bounty Industries Ltd [2007] FCA 956).",cited
Case1669,Cirillo v Consolidated Press Property Pty Ltd (formerly known as Citicorp Australia Limited) [2007] FCA 60,"In Cirillo v Consolidated Press Property Pty Ltd (formerly known as Citicorp Australia Limited) [2007] FCA 60 I have ordered that the application be summarily dismissed against all respondents. Put shortly, I found that the Statement of Claim was, first, offensive, embarrassing and disclosed no reasonable cause of action and, second, the causes of action relied upon were in any event doomed to failure because they sought to impeach a consent order of a superior court of record without first having that order set aside. 2 The respondents have sought to be heard on the question of costs. They now seek an order that costs be awarded in their favour on a solicitor and client basis.",referred to
Case1670,Re Wilcox; Ex parte Venture Industries Pty Ltd (1996) 141 ALR 727,"The jurisdiction of the Court to order costs is conferred by s 43 of the Federal Court of Australia Act 1976 (Cth). The section provides a broad and ample power which ought not be read down otherwise than in accordance with accepted principle. The discretion so conferred is informed by the ordinary practice of this Court that an unsuccessful party usually will be required to pay the costs of the successful party on a party and party basis. That practice, as was indicated in Re Wilcox; Ex parte Venture Industries Pty Ltd (1996) 141 ALR 727 at 729 and 732-733, is not departed from unless the justice of the particular case so requires or some special or unusual feature arises.",cited
Case1674,Australian Broadcasting Commission v Parish (1980) 29 ALR 228,"As Bowen CJ said in Australian Broadcasting Commission v Parish (1980) 29 ALR 228 at 234, open justice is the underlying assumption of s 50. There is nothing to suggest that publication of my reasons, or even publication of the applicant's name, would frustrate the administration of justice or any other public interest. 172 Whilst publication may affect the applicant's reputation or cause her embarrassment or perhaps even damage, those factors are essentially of a private nature. Even if they bear on matters of public interest, they cannot tip the scales against the public interest in open justice. 173 I decline to make the order sought.",cited
Case1675,Felton v Mulligan [1971] HCA 39 ; (1971) 124 CLR 367,"However, the following remarks of Menzies J in Felton v Mulligan [1971] HCA 39 ; (1971) 124 CLR 367 at 382 show why s 39B(1A)(c) is not enlivened:- ""A matter arises under a law of the Parliament when in a proceeding it is necessary that there should be a decision upon a claim made by one of the parties to the litigation which is based upon that law."" 162 Here, the issue before Senior Member Kelly was whether the relevant government agencies had made adequate searches for the documents. The questions explored by the applicant with Ms Smith as to the circumstances in which their friendship ceased, the imputation of a disability, and contact with relatives, were irrelevant to that issue. 163 It was therefore not necessary for there to be a decision on those questions and no matter arose under the DSA or the other Federal statutes to which the applicant referred.",cited
Case1676,Herald &amp; Weekly Times Limited v Williams [2003] FCAFC 217 ; (2003) 130 FCR 435,"Senior Member Allen also referred to the judgment of Merkel J in Herald &amp; Weekly Times Limited v Williams [2003] FCAFC 217 ; (2003) 130 FCR 435 ("" Herald &amp; Weekly Times"") in which his Honour adopted the observations of Kirby P in John Fairfax Group Pty Ltd (Receivers and Managers Appointed) v Local Court of New South Wales (1991) 26 NSWLR 131 ("" John Fairfax"" ). There, the learned President, as he then was, pointed out at 142 that:- ""A significant reason for adhering to a stringent principle, despite sympathy for those who suffer embarrassment, invasions of privacy or even damage by publicity of their proceedings is that such interests must be sacrificed in the greater public interest in adhering to an open system of justice."" 124 Senior Member Allen took into account the embarrassment and damage which may flow to the applicant from publication. This is evident from his quotes from Re Pochi , Herald &amp; Weekly Times and the remarks of Kirby P in John Fairfax .",referred to
Case1680,"Lawrance v President, Administrative Appeals Tribunal [2005] FCA 79","The second category arises out of the application heard by Senior Member Kelly on 1 November 2004. The applicant seeks an order prohibiting the learned member from making her decision and orders removing her from the conduct of the review. However, I refused to grant interlocutory relief which sought to prevent Senior Member Kelly from making her decision; see [2005] FCA 79. Leave to appeal from my judgment was refused by Hely J; see [2005] FCA 541. The request for such orders in the present proceedings has thus been overtaken by the publication of Senior Member Kelly's decision on 24 May 2005.",referred to
Case1681,"Minister for Immigration, Multicultural and Indigenous Affairs v NAMW [2004] FCAFC 264 ; (2004) 140 FCR 572","However, on the material before me, there is nothing to make good the assertion that there was a denial of procedural fairness in the approach adopted by Senior Member Allen. No transcript of the hearing of the application was put before me, and there is nothing to suggest otherwise than that all of the applications for suppression orders were made on the same basis and on the same material. It would follow that the legal and factual issues were identical in each application under s 35(2). See NAOA v Minister for Immigration, Multicultural and Indigenous Affairs [2004] FCAFC 241 at [21] ; cf Minister for Immigration, Multicultural and Indigenous Affairs v NAMW [2004] FCAFC 264 ; (2004) 140 FCR 572 at [121] [122].",referred to
Case1683,Re Pochi and Minister for Immigration and Ethnic Affairs (1979) 26 ALR 247,"As to the principles to be applied, Senior Member Allen referred to the judgment of Brennan J in Re Pochi and Minister for Immigration and Ethnic Affairs (1979) 26 ALR 247 ("" Re Pochi"") at 272 273. His Honour said that an order excluding the public may be more justified than an order excluding a party but that strict criteria govern the making of such an order. There must appear to be a real possibility of injustice to, or a serious disadvantage upon, a party or a witness or it must clearly appear that publication of the proceeding would be contrary to the public interest. 124 Senior Member Allen took into account the embarrassment and damage which may flow to the applicant from publication. This is evident from his quotes from Re Pochi , Herald &amp; Weekly Times and the remarks of Kirby P in John Fairfax .",referred to
Case1693,Koninklijke Philips Electronics NV &amp; Another v Remington Products Australia Pty Ltd [1999] FCA 816 ; (1999) 91 FCR 167,"The High Court approved the observations by Lehane J in Koninklijke Philips Electronics NV v Remington Products Australia Pty Ltd [1999] FCA 816 ; (1999) 91 FCR 167 at p 200, where Lehane J said: '...the essential questions are, first, whether the allegedly infringing design is based on or derived from the registered design and, then, whether the differences are so substantial that the result is not to be described as an imitation. Frequently, of course, probably usually, changes will have been introduced for the purpose of disguising copying or, perhaps, because of a conscious desire to come as close as possible to the registered design while avoiding infringement. But, as this case illustrates, particular changes may be introduced for other compelling reasons; and there is no obvious reason why that should defeat a claim of fraudulent infringement.'",cited
Case1696,Carr v Finance Corporation of Australia Ltd (No 1) [1981] HCA 20 ; (1981) 147 CLR 246,"weeks after I had reserved my decision the applicants' counsel submitted a memorandum drawing my attention to a recent decision of the House of Lords in Secretary of State for the Home Department v AF (No 3) [2009] 3 WLR 74. No leave was sought to file additional material, no prior notice was given to the respondent, and the respondent submits that I should not receive the memorandum. On many occasions the High Court has said that the hearing is the time and place to present arguments, and has explained why unauthorised post-hearing submissions will generally not be received. See for example Carr v Finance Corporation of Australia Ltd (No 1) [1981] HCA 20 ; (1981) 147 CLR 246 at 258, Eastman v Director of Public Prosecutions (ACT) [2003] HCA 28 ; (2003) 214 CLR 318 at [27] - [31] and Re Chief Commissioner of Police (Vic) (2005) 214 ALR 522 at [22].",cited
Case1703,Haj-Ismail v Minister for Immigration Multicultural and Ethnic Affairs (No 2) (1982) 45 ALR 379,"same approach was taken by Lockhart J in Haj-Ismail v Minister for Immigration Multicultural and Ethnic Affairs (No 2) (1982) 45 ALR 379 at 389 in relation to a statement of reasons signed by the Acting Attorney-General disclosing the grounds for his objection to the production of documents for national security reasons. His Honour said, following Bebic : Initially I had some doubt about the propriety of restricting the disclosure of the very grounds themselves in the way proposed by the Acting Attorney-General; but it is really only another facet of the established practice whereby the courts may themselves inspect documents where objection is taken to their production. See also R v Khazaal [2006] NSWSC 1061.",followed
Case1712,Traljesic v Attorney-General (Cth) [2006] FCA 125 ; (2006) 150 FCR 199,"some of the cases considered above, reference is made to disclosure of confidential information to legal advisers subject to appropriate undertakings. Such undertakings were offered in the present case. There are many cases in which access has been denied to legal advisers who have offered undertakings on the ground that the risk to national security flowing from inadvertent disclosure is simply too high. There is an elaborate discussion of this risk in Regina v Khazaal [2006] NSWSC at [31]-[39]. See also Traljesic v Attorney-General (Cth) [2006] FCA 125 ; (2006) 150 FCR 199 at [22] - [23] .",cited
Case1714,Chu Kheng Lim v Minister for Immigration Local Government and Ethnic Affairs [1992] HCA 64 ; (1992) 176 CLR 1,"But does the word ""can"" in s 705 - 70 (1) in its context mean that the possible adoption of the 1999 AASB 1020 by Envestra, ESL and EQL at 30 June 2002 (or until their financial accounts to 30 June 2003 were approved by their directors) enlivens s 705 - 70 (1)? Or does the word ""can"" in its context have some different meaning and function? It is a trite starting point, recognised by those rhetorical questions that it is desirable, where possible, to give meaning to every word used in a statute: Chu Kheng Lim v Minister for Immigration Local Government and Ethnic Affairs [1992] HCA 64 ; (1992) 176 CLR 1 at 12-13; Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 29 ; (1998) 194 CLR 355 at 382.",cited
Case1718,Cronulla Sutherland Leagues Club Ltd v Commissioner of Taxation (1990) 23 FCR 82,"The significance of tense in the construction of s 23(g)(iii) of the ITAA 1936 was discussed by the Full Court of this Court in Cronulla Sutherland Leagues Club Ltd v Commissioner of Taxation (1990) 23 FCR 82 , especially per Lockhart J at 89 and per Beaumont J at 116. Of course, that case addressed a quite different context, so it merely provides an indication that tense may be a significant indicator to the proper construction of a taxation statute. See also Brookton Co-op Society Ltd v Commissioner of Taxation (Cth) [1981] HCA 28 ; (1981) 147 CLR 441 per Mason J at 451 and per Aickin J at 461-469.",considered
Case1727,Lawrenson Diecasting Pty Ltd v Workcover Authority of New South Wales (Inspector Ch'ng) (1999) 90 IR 464,"also relied on the following passage from Workcover Authority of New South Wales v Profab Industries Pty Ltd (2000) 49 NSWLR 700 at 714 (quoting with approval from Lawrenson Diecasting Pty Ltd v Workcover Authority of New South Wales (Inspector Ch'ng) (1999) 90 IR 464): [T]he primary factor to look at in relation to the penalty to be imposed is the objective seriousness of the offence. Particularly in cases involving a serious breach of the OH &amp; S Act, subjective factors, such as a plea of guilty, co-operation with the investigation and subsequent measures taken to improve safety, must play a subsidiary role in determination of penalty to the gravity of the offence itself. See also Director of Public Prosecutions v Amcor Packaging Australia Pty Ltd (2005) 11 VR 557 ; [2005] VSCA 219 ( Amcor ) at [35] where this passage was cited.",applied
Case1730,R v Propsting [2009] VSCA 45,"the criminal law it is established that a maximum penalty prescribed for an offence is intended for cases falling within the worst category of cases for which that penalty is prescribed. In Veen v R (No 2) [1988] HCA 14 ; (1988) 164 CLR 465 at 478; [1988] HCA 14 , Mason CJ, Brennan, Dawson and Toohey JJ said: That does not mean that a lesser penalty must be imposed if it be possible to envisage a worse case; ingenuity can always conjure up a case of greater heinousness. In R v Propsting [2009] VSCA 45 , Vincent JA said at [15]: There is a stage at which conduct becomes so egregious that it must be regarded as being of a kind attracting the imposition of a very substantial, if not the maximum, penalty for the commission of the offence involved regardless of whether a more serious example could be imagined.",applied
Case1733,Allstate Life Insurance Co v ANZ (No 6) (1996) 64 FCR 79,"non-indigenous respondents reminded me of the criteria for the admissibility and role of expert opinion evidence. They referred, in particular, to Makita (Australia) Pty Ltd v Sprowles [2001] NSWCA 305 ; (2001) 52 NSWLR 705 at [59] [86] (Heydon JA), and to my own judgments in Allstate Life Insurance Co v ANZ (No 6) (1996) 64 FCR 79 at 83 84 and Harrington-Smith v Western Australia (No 7) at [20]. I need not embark upon a general discussion of the rules governing the admissibility of expert opinion evidence. Anthropologists' notes as evidence of facts",cited
Case1739,Daniel v Western Australia (2002) 194 ALR 278,"the authorisation requirement of s 61(1) is not complied with, the non-compliance is fatal to the success of the application: Moran v Minister for Land and Water Conservation for the State of New South Wales [1999] FCA 1637 at [48] ; Strickland at [56]-[57] (approved in WA v Strickland at [77]-[78]); Drury v Western Australia [2000] FCA 132 ; (2000) 97 FCR 169 at [10] ; Daniel v Western Australia (2002) 194 ALR 278 (FCA) at [11]; De Rose FCA/O'Loughlin J at [933]. Authorisation must be by all the persons who constitute the native title claim group in respect of the common or group rights and interests comprising the particular native title claimed: Risk v National Native Title Tribunal [2000] FCA 1589 at [30] ; Dieri People v South Australia [2003] FCA 187 ; (2003) 127 FCR 364 at [55] (' Dieri People '); Tilmouth v Northern Territory [2001] FCA 820 ; (2001) 109 FCR 240 (' Tilmouth ').",followed
Case1759,Members of the Yorta Yorta Aboriginal Community v Victoria [2001] FCA 45 ; (2001) 110 FCR 244,"onus of proving the existence (including the continued existence, ie non-extinguishment) of native title rests on applicants: Ward FCAFC at [117]; Members of the Yorta Yorta Aboriginal Community v Victoria [2001] FCA 45 ; (2001) 110 FCR 244 at [159] ; De Rose FCA/O'Loughlin J at [8]; Daniel v Western Australia [2003] FCA 666 at [146] [148] (' Daniel '); Neowarra at [431]; Coe v Commonwealth [1993] HCA 42 ; (1993) 118 ALR 193 (HCA) at 206. In saying this, I am referring to both the ultimate burden and the evidentiary burden in respect of all the elements of native title, subject to one qualification: in relation to extinguishment, a respondent bears an evidentiary burden of proving the existence of its title and of the rights exercisable under it, while the burden of proving that those rights are not inconsistent with the claimed native title rights and interests, rests on the applicants: Daniel at [148].",cited
Case1760,Members of the Yorta Yorta Aboriginal Community v Victoria [2002] HCA 58 ; (2002) 214 CLR 422,"The native title that is recognised and protected by the NTA is the native title as defined in the s 223 (1) of the NTA, and the NTA, and, in particular, that definition, must be the starting point for any consideration of an application for a determination of native title brought under the NTA: Commonwealth v Yarmirr [2001] HCA 56 ; (2001) 208 CLR 1 (' Yarmirr HCA ') at [7] (Gleeson CJ, Gaudron, Gummow and Hayne JJ) ('joint judgment'); Western Australia v Ward [2002] HCA 28 ; (2002) 213 CLR 1 (' Ward HCA ') at [16] (Gleeson CJ, Gaudron, Gummow and Hayne JJ) ('joint judgment'); Members of the Yorta Yorta Aboriginal Community v Victoria [2002] HCA 58 ; (2002) 214 CLR 422 (' Yorta Yorta HCA ') at [32] (Gleeson CJ, Gummow and Hayne JJ) ('joint judgment').",applied
Case1763,North Ganalanja Aboriginal Corporation v Queensland [1996] HCA 2 ; (1996) 185 CLR 595,"Novel legal, political and administrative problems were raised by the High Court's decisions in Mabo (No 2) and Wik . The Old NTA was the Parliament's attempt to grapple with the former, and the Amending NTA, with the latter. 'Unless the [NTA] is read with an understanding of the novel legal and administrative problems involved in the statutory recognition of native title, its terms may be misconstrued': North Ganalanja Aboriginal Corporation v Queensland [1996] HCA 2 ; (1996) 185 CLR 595 at 614-5 (Brennan CJ, Dawson, Toohey, Gaudron and Gummow JJ).",cited
Case1775,Western Australia v Ward [2000] FCA 191 ; (2000) 99 FCR 316,The existence and content of native title must be ascertained as a matter of fact and on a case by case basis by reference to the traditional laws acknowledged and the traditional customs observed by the indigenous people who posses the title: Mabo (No 2) at 58 (Brennan J); Wik at 169 (Gummow J); Commonwealth v Yarmirr [1999] FCA 1668 ; (1999) 101 FCR 171 at [16] (Beaumont and von Doussa JJ); Western Australia v Ward [2000] FCA 191 ; (2000) 99 FCR 316 (' Ward FCAFC' ) at [58] (Beaumont and von Doussa JJ).,cited
Case1777,Western Australia v Strickland [2000] FCA 652 ; (2000) 99 FCR 33,"8 June 1999, a delegate of the NT Registrar decided pursuant to s 190A of the NTA, that the Maduwongga Claim should not be accepted for alleged failure to comply with s 190C(3) of the NTA. That decision led to litigation ( Strickland v Native Title Registrar (1999) 168 ALR 242 (FCA)) (' Strickland ') in which French J set aside the decision and directed the NT Registrar to accept the Maduwongga Claim and to include details of it in the Register of Native Title Claims. An appeal by the State was dismissed: Western Australia v Strickland [2000] FCA 652 ; (2000) 99 FCR 33 (' WA v Strickland ').",cited
Case1794,Giumelli v Giumelli [1999] HCA 10 ; (1999) 196 CLR 101,"On appeal, counsel for the applicant referred me to cases such as Waltons Stores (Interstate) Ltd v Maher [1988] HCA 7 ; (1988) 164 CLR 387, Giumelli v Giumelli [1999] HCA 10 ; (1999) 196 CLR 101 and Plimmer v Wellington Corporation (1884) 9 App Cases 699, and submitted that the Tribunal member should have found that the applicant had no beneficial interest in the Torrensville property, or at least no interest that could be realised in the foreseeable future. In the context of the applicant's preservation benefits, counsel for the applicant made submissions as to the effect of provisions of the Superannuation Industry (Supervision) Act 1993 (Cth).",cited
Case1806,Tien v Minister for Immigration and Multicultural and Indigenous Affairs [1998] FCA 1552 ; (1998) 89 FCR 80,"If I am wrong about s 107 never being engaged and the delegate was entitled to give the notice which was given, the notice in my opinion failed to comply with s 107 in that it did not particularise the possible non-compliance. Because particulars of the non-compliance were not given, it meant that the appellant could not give a written response to the notice disputing there was non-compliance and showing there was compliance as provided for in s 107(1)(b). The giving of a notice which complies with s 107 of the Act is a statutory precondition to the exercise of the Minister's or delegate's power to cancel the visa: cf. Tien v Minister for Immigration and Multicultural and Indigenous Affairs [1998] FCA 1552 ; (1998) 89 FCR 80 ; Zhou v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 1078 ; (2004) 139 FCR 60.",cited
Case1810,Re GA Listing &amp; Maintenance Pty Ltd (1994) 15 ACSR 308,"principles which govern the exercise of the Court's power under s 477(2B) have been considered in a number of authorities. In Re GA Listing &amp; Maintenance Pty Ltd (1994) 15 ACSR 308 at 310, Young J said that: The whole purpose of liquidation is, to borrow a metaphor used by Sir Laurence Street some years ago, to lead the horse back into the stable. ... Any activity which marks a substantial deviation from the activity of ""leading the horse back to the stable"" is, generally speaking, outside the power of the liquidator. However, human activity is so diverse that there will be situations where the liquidator cannot lead the horse back to the stable by the direct route. He may have to pause along the way because the path is blocked by some litigation or other impediment.",referred to
Case1830,Cowell v Taylor (1885) 31 Ch D 34,"Notwithstanding the long-standing principle that the door of the court should not be barred to a prospective applicant because of impecuniosity (Bowen LJ in Cowell v Taylor (1885) 31 Ch D 34 at 38, Full Court of the Federal Court in Cherry v Read (unreported, Black CJ, Sackville and Finn JJ, 21 November 1996 at 8), and note cases discussed in GE Dal Pont Law of Costs LexisNexis Butterworths 2003 at p 955) the protective object of an order for security for costs is well known. As Einstein J said in Idoport Pty Limited &amp; Anor v National Australia Bank Limited [2001] NSWSC 744 at [52] : 'The purpose of a security for costs order is therefore a protective jurisdiction to ensure that the primary purposes for having costs orders themselves, can be achieved. A defendant is protected against the risk that a costs order obtained at the end of the day may turn out to be of no value by reason of the impecuniosity of the plaintiff.'",cited
